,unit_id,duration,half_width,pt_ratio,repol_slope,recov_slope,spread,prop_vel_above,prop_vel_below
8033,8222,1.0582677165354344,0.22047244094488216,-1.3589969378645599,2.076552069673394,2.076552069673394,28,90.7142857142856,136.0714285714284
8034,8223,1.1023622047244108,0.22047244094488216,-0.8348314265578288,2.1029867243180598,2.1029867243180598,14,82.46753246753237,129.59183673469371
8035,8224,1.0582677165354344,0.22047244094488216,-1.3413126898916006,2.1174848511602864,2.1174848511602864,27,37.279843444226955,136.0714285714284
8036,8225,1.1464566929133873,0.22047244094488216,-1.2901014346738502,2.062371255994112,2.062371255994112,22,75.595238095238,23.623511904761877
8037,8226,1.1464566929133873,0.22047244094488216,-1.0060898911827527,2.0533788973738294,2.0533788973738294,21,100.79365079365067,136.0714285714284
8038,8227,1.2787401574803166,0.22047244094488216,-1.194894129450761,2.2700074196250264,2.2700074196250264,19,94.4940476190475,188.988095238095
8039,8228,1.0582677165354344,0.22047244094488216,-1.32684651600208,2.2764037374720822,2.2764037374720822,22,55.31358885017415,151.190476190476
8040,8229,1.1023622047244108,0.22047244094488216,-1.4113600969642228,2.057497332547625,2.057497332547625,27,77.95758928571419,113.392857142857
8041,8230,1.1023622047244108,0.22047244094488216,-1.5997918655232835,2.1156992036001063,2.1156992036001063,31,80.04201680672259,41.5773809523809
8042,8231,1.1464566929133873,0.22047244094488216,-1.0021557678845943,2.302254784633192,2.302254784633192,19,104.67032967032954,113.392857142857
8043,8232,1.0582677165354344,0.2645669291338586,-1.6142832113162309,1.8713171075515314,1.8713171075515314,31,94.4940476190475,99.78571428571416
8044,8233,1.1023622047244108,0.22047244094488216,-1.1493286556209503,2.154776786932351,2.154776786932351,24,79.68146718146708,194.3877551020406
8045,8234,1.1464566929133873,0.22047244094488216,-1.32451387732182,2.280047130400942,2.280047130400942,26,54.86751152073726,194.3877551020406
8046,8235,1.1905511811023637,0.22047244094488216,-0.8789245447206975,2.1236512911855194,2.1236512911855194,22,113.392857142857,151.190476190476
8047,8236,1.1905511811023637,0.22047244094488216,-1.0594222230897399,2.2433191441093547,2.2433191441093547,20,62.56157635467972,151.190476190476
8048,8237,1.1023622047244108,0.22047244094488216,-0.7774692205160795,2.210789432563351,2.210789432563351,14,71.61654135338337,102.41935483870955
8049,8238,1.2346456692913401,0.22047244094488216,-1.259045089556381,2.142626964509043,2.142626964509043,24,140.39115646258486,136.0714285714284
8050,8239,1.0582677165354344,0.22047244094488216,-0.731648067127568,2.2437207596271356,2.2437207596271356,14,97.1938775510203,136.0714285714284
8051,8240,1.0582677165354344,0.22047244094488216,-1.12250881516361,2.2785177244143746,2.2785177244143746,19,64.18463611859829,181.4285714285712
8052,8241,1.1464566929133873,0.22047244094488216,-1.2039771773288148,2.165282191361465,2.165282191361465,20,117.30295566502448,181.4285714285712
8053,8242,1.0582677165354344,0.17637795275590573,-0.7539759211481839,2.291907979837736,2.291907979837736,14,94.4940476190475,151.190476190476
8054,8243,1.1023622047244108,0.22047244094488216,-0.7507395147125927,2.2039781415416986,2.2039781415416986,18,78.88198757763965,151.190476190476
8055,8244,1.1023622047244108,0.22047244094488216,-0.8317131583714826,2.2552724173314367,2.2552724173314367,13,39.100985221674826,226.785714285714
8056,8245,1.1464566929133873,0.17637795275590573,-0.6535733293494383,2.311560790458475,2.311560790458475,12,83.55263157894727,181.4285714285712
8057,8246,1.1023622047244108,0.17637795275590573,-0.6998118987794039,2.2880864163851675,2.2880864163851675,12,53.99659863945572,161.98979591836715
8058,8247,1.1464566929133873,0.22047244094488216,-0.7873394916394316,2.1742508471467943,2.1742508471467943,19,113.392857142857,136.0714285714284
8059,8248,1.1464566929133873,0.22047244094488216,-1.228663772836718,2.3040227745076245,2.3040227745076245,20,75.595238095238,161.98979591836715
8060,8249,1.1464566929133873,0.22047244094488216,-0.9160625360693241,2.2287735983057746,2.2287735983057746,14,209.34065934065907,27.323580034423376
8061,8250,1.1905511811023637,0.22047244094488216,-1.4685421903692515,2.0813632446519397,2.0813632446519397,28,85.04464285714275,151.190476190476
8062,8251,1.1023622047244108,0.22047244094488216,-1.3458456067121687,2.1622280497331245,2.1622280497331245,28,62.36607142857135,188.988095238095
8063,8252,1.1023622047244108,0.2645669291338586,-1.4286116442913979,2.0559816977369563,2.0559816977369563,30,113.392857142857,136.0714285714284
8064,8253,1.1464566929133873,0.22047244094488216,-0.909567483632752,2.251140148857309,2.251140148857309,13,100.79365079365067,194.3877551020406
8065,8254,1.1905511811023637,0.22047244094488216,-1.3730023522520567,2.126287245026454,2.126287245026454,31,88.74223602484462,21.947004608294904
8066,8255,1.1464566929133873,0.22047244094488216,-1.2302427818906223,2.2427636113207416,2.2427636113207416,28,80.47235023041465,151.190476190476
8067,8256,1.1023622047244108,0.17637795275590573,-0.8207904075224624,2.334470552487984,2.334470552487984,14,80.99489795918358,161.98979591836715
8068,8257,1.1023622047244108,0.22047244094488216,-1.2608197615322712,2.1649567712978772,2.1649567712978772,28,98.2738095238094,136.0714285714284
8069,8258,1.0582677165354344,0.22047244094488216,-1.1231126540994403,2.2819231001483042,2.2819231001483042,19,60.74617346938768,226.785714285714
8070,8259,1.1023622047244108,0.17637795275590573,-1.1149300980107237,2.2179686737191613,2.2179686737191613,20,42.78975741239886,161.98979591836715
8071,8260,1.1023622047244108,0.22047244094488216,-0.8697027552381339,2.1987314168216323,2.1987314168216323,16,48.59693877551015,188.988095238095
8072,8261,1.0582677165354344,0.22047244094488216,-0.8130633456660302,2.2588525999416835,2.2588525999416835,13,49.03474903474898,194.3877551020406
8073,8262,1.1023622047244108,0.22047244094488216,-0.7884712330674538,2.2074539333031074,2.2074539333031074,13,113.392857142857,136.0714285714284
8074,8263,1.0582677165354344,0.22047244094488216,-0.9218732738301361,2.251581952208194,2.251581952208194,16,92.77597402597391,129.59183673469371
8075,8264,1.1464566929133873,0.22047244094488216,-0.7090045645385786,2.195826501549469,2.195826501549469,13,78.20197044334965,181.4285714285712
8076,8265,1.1023622047244108,0.17637795275590573,-1.1158406435042618,2.289839335295036,2.289839335295036,17,36.77606177606173,136.0714285714284
8077,8266,1.1464566929133873,0.22047244094488216,-1.2599526930800211,2.1445202773961727,2.1445202773961727,28,75.595238095238,136.0714285714284
